name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
-60�,0,1-4,"120-180 min",12,"Alexander Pfister, Peter Prinz","dlp games",3,3C115,Need,0,0,80,
-60�,0,1-4,"120-180 min",12,"Alexander Pfister, Peter Prinz","dlp games",3,3C115,Need,0,0,80,
"1. Kontakt",0,2-5,"30-60 min",14,"Michael Munoz","Strohmann Games",,"3 T-600",Need,0,0,37,
"10 to Leave",0,2-5,"10-20 min",8,Kula,"JJ Board Game",5,5H400,Need,0,0,15,
"12 Rivers",0,2-4,"45-75 min",10,"Romain Caterdjian","Pegasus Spiele",3,3M120,Need,0,0,50,
"17 Dice Bets",0,2-4,"30-40 min",8,"Lee Ju-Hwa, Giung Kim","Mandoo Games",6,6B201,Need,0,0,,
"1880: Romania",0,2-6,"120-240 min",13,"Leonhard ""Lonny"" Orgler","Lonny Games",4,4F120,Need,0,0,85,
"1902 M�li�s",0,2-4,"45-60 min",12,"Eloi Pujadas, Ferran Renalias","Biberstein Spiele",,,Need,0,0,33,
"1943: Race to Rabaul",0,2-4,"120-240 min",14,"Volko Ruhnke",PHALANX,3,3L500,Need,0,0,90,
"1953 Everest",0,1-4,"45-60 min",12,"Xavier Violeau","Looping Games",3,3D511,Need,0,0,25,
"1st Band",0,3-5,"10-15 min",10,Zong-Ger(蔥哥),(Self-Published),,,Need,0,0,10,
"1st CEO",0,2-6,"20-60 min",10,Zong-Ger(蔥哥),"1st game publisher",5,5H400,Need,0,0,25,
5Pairs,0,2-4,"20-30 min",10,"Danijel Pošta","Brettspielloesung (BSL Games)",3,3C300,Need,0,0,14,
"6 Forces",0,3-4,"40 min",7,"新澤 大樹 (Taiki Shinzawa)",Korokorodou,5,5M310,Need,0,0,15,
"67 Six Seven",0,2-6,"15-20 min",7,"Aida Márquez Bonet, Eugeni Castaño",Combete,,,Need,0,0,15,
"7 Ages: Collector's Edition",0,1-7,"77-1200 min",14,"Harry Rowland","Australian Design Group",,,Need,0,0,,
"7th Seal",0,1,"30-70 min",14,"Julio Falagán",Devir,3,3D600,Need,0,0,,
"8 Dragons",0,2-4,"40-60 min",10,"Sönke Schmidt","Wonderbow Games",3,3Q120,Need,0,0,,
"A Bridge Too Far",0,1,,14,"José Luis Barca",PHALANX,3,3L500,Need,0,0,25,
"A Life",0,2-4,"45-90 min",8,"Stefan Freund","Skellig Games",3,3C300,Need,0,0,,
"A Life",0,2-4,"45-90 min",8,"Stefan Freund","Skellig Games",3,3C300,Need,0,0,,
"A Message From The Stars: Extinction Protocol",1,2-8,"45 min",11,"Clarence Simpson",Allplay,8,8D200,Need,0,0,20,
