"spiel_id","spiel_title","bgg_id","note"
"874","#LAZYLUZA Gamingtable","","Fill verified BGG ID"
"956","10 von 10","","Fill verified BGG ID"
"1301","1000KM - Pocket Mario Kart","","Fill verified BGG ID"
"355","15th Stamp","456370","456370"
"1100","20 Strong: Tanglewoods","432950",""
"474","3 + 4 = Bugs & More","","Fill verified BGG ID"
"977","30 Seconds® 2go | Christmas Version","","Fill verified BGG ID"
"920","30 Seconds® 2go | Holiday Version","","Fill verified BGG ID"
"908","30 Seconds® 2go | Klassiche Version","","Fill verified BGG ID"
"612","365 Abenteuer: Cthulhu 1927 [2027]]","","Fill verified BGG ID"
"615","365 Abenteuer: Der Dungeon [2027]","","Fill verified BGG ID"
"166","A Dream of Splendor in Song Dynasty","","Fill verified BGG ID"
"314","A Message From the Stars","","Fill verified BGG ID"
"53","A war of Whispers Erweiterter Einfluss - Erweiterung","","Fill verified BGG ID"
"1064","ANALPHABET BLÖDMANN CURRYWURST Tabubruch","","Fill verified BGG ID"
"459","ANTgravity: Anomalies","","Fill verified BGG ID"
"564","ANTgravity: Energy","","Fill verified BGG ID"
"566","ANTgravity: Fire","","Fill verified BGG ID"
"463","ANTgravity: Ice","","Fill verified BGG ID"
"433","ANTgravity: Kung Fu","","Fill verified BGG ID"
"1481","ATW Womens Edition","","Fill verified BGG ID"
"1489","ATW: A New Dawn","","Fill verified BGG ID"
"1483","ATW: Gail Kim","","Fill verified BGG ID"
"1491","ATW: The Hurt Edition","","Fill verified BGG ID"
"1044","A_way","","Fill verified BGG ID"
"970","Adventure Games - Mission Mars","","Fill verified BGG ID"
"1343","Adventure in a Box: Drachenelfen - Himmel in Flammen","","Fill verified BGG ID"
"20","Aegeapolis","","Fill verified BGG ID"
"1046","Aetherspire","","Fill verified BGG ID"
"1014","Agricola Special Edition","","Fill verified BGG ID"
"1445","Al-Kahuf","","Fill verified BGG ID"
"262","Alles Gute!","","Fill verified BGG ID"
"8","Almighty: Maniacs & Monsters","","Fill verified BGG ID"
"955","Alter Falter!","","Fill verified BGG ID"
"1086","Andromeda’s Edge: Genesis","","Fill verified BGG ID"
"1325","Animalia","","Fill verified BGG ID"
"1195","Aqua Garden 2nd Edition","","Fill verified BGG ID"
"1347","Aquapark","","Fill verified BGG ID"
"1180","Aquarium Festival","","Fill verified BGG ID"
"491","Arnie & Barney King of the Dice","","Fill verified BGG ID"
"1405","Artsy Hype","","Fill verified BGG ID"
"680","Ascendia - Seasons of Thargos","","Fill verified BGG ID"
"746","Ascendia Seasons of Thargos - The Secrets Below","","Fill verified BGG ID"
"1494","Ashes Special 13 (ENG) - Bologna Play 2026","","Fill verified BGG ID"
"1362","Assemble","","Fill verified BGG ID"
"862","Auf Wilden Wegen (Neue Version mit Solomodus)","","Fill verified BGG ID"
"857","Auf Wilden Wegen: Heiterkeit","","Fill verified BGG ID"
"832","Auf Wilden Wegen: Schleichwege","","Fill verified BGG ID"
"1383","Auf die Elche, fertig, los","","Fill verified BGG ID"
"1283","Avalon: The Riven Veil - Myths & Monsters Expansion","","Fill verified BGG ID"
"1448","Aventuria - Beschwörer der Elemente","","Fill verified BGG ID"
"1440","Aventuria - Fluch der Wüste","","Fill verified BGG ID"
"1427","Aventuria - Kelche der Macht","","Fill verified BGG ID"
"1396","Aventuria - Meisterin des Schabernacks","","Fill verified BGG ID"
"1380","Aventuria - Teamherausforderung Insel der Mumienfürsten","","Fill verified BGG ID"
"1387","Aventuria - Teamherausforderung Tsulu","","Fill verified BGG ID"
"1417","Aventuria - Tochter des Mantikors","","Fill verified BGG ID"
"105","Ayar","","Fill verified BGG ID"
"102","Azimath – Learn Maths Through Play","","Fill verified BGG ID"
"174","Azimut XL – Outdoor Orienteering Game","","Fill verified BGG ID"
"231","BANGER - Das MUSIK PARTYSPIEL","","Fill verified BGG ID"
"1104","BEST DAY EVER","","Fill verified BGG ID"
"449","BLACK TALES - ADVENTURES IN THE MEDITERRANEAN AND CONVERSION KIT","","Fill verified BGG ID"
"1442","BLOOPS","","Fill verified BGG ID"
"472","Back of the Goal","","Fill verified BGG ID"
"130","Back to Back","","Fill verified BGG ID"
"1303","Backstab Heroes - Zeit der Drachen","","Fill verified BGG ID"
"478","Badass Bunnies","","Fill verified BGG ID"
"161","Bailen 1808 Napoleon´s First Defeat","","Fill verified BGG ID"
"1350","Bandido Alcatraz","","Fill verified BGG ID"
"87","Bean to Bar – Die Welt feinster Schokolade","","Fill verified BGG ID"
"1456","Bear Sting","","Fill verified BGG ID"
"184","Beasts and Diplomacy","","Fill verified BGG ID"
"328","Beasts and Diplomacy: Almanac solo expansion","","Fill verified BGG ID"
"1358","Beat That!","","Fill verified BGG ID"
"445","Beschissene Freunde 2","","Fill verified BGG ID"
"1335","Bet The Music","","Fill verified BGG ID"
"1275","Bibi & Tina -Abenteuerspiel- Das große Weihnachtswettreiten","","Fill verified BGG ID"
"1268","Bibi & Tina -Abenteuerspiel- Kälbchen Käthe ist verschwunden","","Fill verified BGG ID"
